# duration_ms,left,right
4000.0,0,0
100.0,0,1
700.0,0,0
200.0,1,0
100.0,0,0
200.0,1,0
1747.0,0,0
4200.0,0,0
100.0,1,1
100.0,0,1
1200.0,0,0
100.0,1,0
100.0,0,0
100.0,1,0
5400.0,0,0
100.0,1,0
100.0,0,0
200.0,0,1
200.0,0,0
100.0,1,1
200.0,0,0
100.0,1,1
100.0,0,0
100.0,1,0
200.0,0,0
100.0,1,0
200.0,0,0
100.0,1,1
400.0,0,0
100.0,0,1
100.0,0,0
100.0,0,1
200.0,0,0
100.0,0,1
100.0,0,0
100.0,1,1
100.0,0,0
100.0,1,0
200.0,0,0
100.0,1,1
100.0,0,0
100.0,1,1
100.0,0,0
100.0,1,0
100.0,1,1
300.0,0,0
100.0,1,1
300.0,0,0
100.0,1,1
100.0,0,0
100.0,1,1
100.0,0,0
100.0,1,0
21300.0,0,0
100.0,1,0
100.0,0,0
100.0,0,1
500.0,0,0
100.0,0,1
100.0,1,0
100.0,0,0
100.0,1,0
200.0,0,0
200.0,1,0
